UPC,EAN,Custom SKU,Manufact. SKU,Item,Remaining,Sale Price
681489079420,,,,TRUE 2021 ELITE EQUIPMENT CARRY BAG - BLACK/WHITE,7,$149.99 
191520816940,,,,CCM Hockey Gloves Black 15 XF,7,$169.99 
191520798833,,191520797799,191520798352,CCM Jetspeed FT7 Pro Hockey Stick -  Junior,7,$259.99 
191520797379,,191520798512,191520798031,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P28 75,7,$359.99 
191520285210,,,,CCM Step Steel Stainless 271,6,$109.99 
191520285227,,,,CCM Step Steel Stainless 280,6,$109.99 
191520660079,,,,CCM Hockey Gloves Black 13 FT6,6,$159.99 
191520663698,,,,CCM Jetspeed FT6 Pro Shin Guards - Junior 12,6,$159.99 
191520334345,,,,CCM Tacks 910 Helmet Combo Black XS,6,$299.99 
191520797713,,191520798772,191520798291,CCM Jetspeed FT7 Pro Hockey Stick- Intermediate Right P29 55,6,$339.99 
191520797614,,191520798215,191520798697,CCM Jetspeed FT7 Pro Hockey Stick- Intermediate Right P28 65,6,$339.99 
191520798734,,191520798253,191520797676,CCM Jetspeed FT7 Pro Hockey Stick- Intermediate Right P90 65,6,$339.99 
191520798758,,191520797690,191520798277,CCM Jetspeed FT7 Pro Hockey Stick- Intermediate Right P28 55,6,$339.99 
191520798796,,191520798314,191520799397,CCM Jetspeed FT7 Pro Hockey Stick- Intermediate Right P90 55,6,$339.99 
191520797478,,191520798598,191520798116,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P29 80,6,$359.99 
191520797430,,191520798079,191520798550,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P90 75,6,$359.99 
191520798130,,191520797515,191520798611,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P90 80,6,$359.99 
191520285197,,,,CCM Step Steel Stainless 255,5,$109.99 
191520285203,,,,CCM Step Steel Stainless 263,5,$109.99 
191520832186,,,,CCM Tacks Classic Shoulder Pads - Senior S,5,$119.99 
191520832193,,,,CCM Tacks Classic Shoulder Pads - Senior M,5,$119.99 
191520663742,,,,CCM Jetspeed FT6 Shin Guards - Junior 11,5,$129.99 
191520663766,,,,CCM Jetspeed FT6 Shin Guards - Junior 13,5,$129.99 
191520817244,,,,CCM Hockey Gloves Black 12 XF,5,$149.99 
191520284701,,,,CCM Step Steel DLC Black 280,5,$169.99 
191520816926,,,,CCM Hockey Gloves Black 13 XF,5,$169.99 
191520659950,,,,CCM Hockey Gloves Black 11 FT6 Pro,5,$179.99 
681489079390,,,,TRUE 2021 ELITE EQUIPMENT BACKPACK - BLACK/WHITE,5,$188.49 
681489130039,,,,TRUE CATALYST 9X3 2023 ANATOMICAL FIT GLOVE BLACK 13,5,$209.99 
191520818098,,,,CCM Tacks XF Pro Shoulder Pads - Senior L,5,$229.99 
191520798857,,191520798376,191520797836,CCM Jetspeed FT7 Pro Hockey Stick -  Junior  Right P90 50,5,$259.99 
191520797775,,191520798819,191520798338,CCM Jetspeed FT7 Pro Hockey Stick -  Junior  Right P28 50,5,$259.99 
191520797850,,191520798918,191520798871,CCM Jetspeed FT7 Pro Hockey Stick -  Junior,5,$259.99 
681489159795,,,,"TRUE PROJECT X SMOKE INT OPS, 50 FLEX, T28 CURVE, RIGHT, 56""",5,$339.99 
681489159818,,,,"TRUE PROJECT X SMOKE INT OPS, 50 FLEX, T92 CURVE, RIGHT, 56""",5,$339.99 
681489159856,,,,"TRUE PROJECT X SMOKE INT OPS, 60 FLEX, T28 CURVE, RIGHT, 58""",5,$339.99 
681489159870,,,,"TRUE PROJECT X SMOKE INT OPS, 60 FLEX, T92 CURVE, RIGHT, 58""",5,$339.99 
191520798239,,191520798710,191520797638,CCM Jetspeed FT7 Pro Hockey Stick- Intermediate Right P29 65,5,$339.99 
191520797317,,191520798475,191520797997,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P29 70,5,$359.99 
191520797393,,191520798536,191520798055,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P29 75,5,$359.99 
191520797966,,191520798444,191520797287,CCM Jetspeed FT7 Pro Hockey Stick - Senior Left P28 70,5,$359.99 
191520798024,,191520797362,191520798505,CCM Jetspeed FT7 Pro Hockey Stick - Senior Left P28 75,5,$359.99 
191520797294,,191520798451,191520797973,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P28 70,5,$359.99 
191520797454,,191520798093,191520798574,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P28 80,5,$359.99 
191520797355,,191520798017,191520798499,CCM Jetspeed FT7 Pro Hockey Stick - Senior Right P90 70,5,$359.99 
681489160050,,,,"TRUE PROJECT X SMOKE SR OPS, 65 FLEX, T28 CURVE, RIGHT, 60""",5,$369.99 
681489160111,,,,"TRUE PROJECT X SMOKE SR OPS, 75 FLEX, T28 CURVE, RIGHT, 62""",5,$369.99 
191520633400,,,,CCM Jetspeed FT680 Skate - Senior  Regular 9,5,$449.99 
191520285159,,,,CCM Step Steel Stainless 221,4,$109.99 
191520285166,,,,CCM Step Steel Stainless 230,4,$109.99 
191520285234,,,,CCM Step Steel Stainless 287,4,$109.99 
191520818814,,,,CCM Tacks XF 80 Shin Guards - Junior 11,4,$109.99 
191520660659,,,,CCM Hockey Gloves Black 15 FT680,4,$119.99 
191520441579,,,,CCM Hockey Pants Black Junior S AS 580,4,$119.99 
191520441586,,,,CCM Hockey Pants Black Junior M AS 580,4,$119.99 
191520832209,,,,CCM Tacks Classic Shoulder Pads - Senior L,4,$119.99 
191520818807,,,,CCM Tacks XF 80 Shin Guards - Senior 16,4,$129.99 
191520818258,,,,CCM Tacks XF 80 Shoulder Pads - Senior S,4,$129.99 
191520818265,,,,CCM Tacks XF 80 Shoulder Pads - Senior M,4,$129.99 
191520660376,,,,CCM Hockey Gloves Black 10 FT6,4,$139.99 
191520660383,,,,CCM Hockey Gloves Black 11 FT6,4,$139.99 
191520663513,,,,CCM Elbow Pads JR FT6 Pro L,4,$139.99 
